No(idではない),name,ingredients,brand_name,production_area_name,food_type_name,calorie,target_age,rakuten_name,rakuten_item_code,medium_image_url,min_price,max_price,median_price,add_date
11,チャオ　すごい乳酸菌　クランキー　チキン味,穀類（小麦粉、パン粉、コーングルテンミール等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー）、ミートミール、動物性油脂、粉末セルロース、ビール酵母、豆類（脱脂大豆等）、タンパク加水分解物、チキンエキスパウダー、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐH調整剤、アルギニングルタミン酸塩,いなばペットフード,日本,ドライ,360,全年齢,チャオ すごい乳酸菌 クランキー　チキン味,chanet:10825722,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/2727/272238-1.jpg,178,9722,943,2023-08-01 23:20:49 +0900
12,チャオ　すごい乳酸菌　クランキー　かつお節味,穀類（小麦粉、パン粉、コーングルテンミール等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、かつお節パウダー）、ミートミール、動物性油脂、粉末セルロース、ビール酵母、豆類（脱脂大豆等）、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐH調整剤、アルギニングルタミン酸塩,いなばペットフード,日本,ドライ,360,全年齢,チャオ すごい乳酸菌 クランキー　かつお節味,chanet:10825029,https://thumbnail.image.rakuten.co.jp/@0_mall/pets-kojima/cabinet/07/07723223.jpg,178,9722,627,2023-08-01 23:20:49 +0900
13,チャオ　すごい乳酸菌　クランキー　まぐろ節味,穀類（小麦粉、パン粉、コーングルテンミール等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー）、ミートミール、動物性油脂、粉末セルロース、ビール酵母、豆類（脱脂大豆等）、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐH調整剤、アルギニングルタミン酸塩,いなばペットフード,日本,ドライ,360,全年齢,チャオ すごい乳酸菌 クランキー　まぐろ節味,chanet:10825028,https://thumbnail.image.rakuten.co.jp/@0_mall/pets-kojima/cabinet/07/07723216.jpg,177,8544,979,2023-08-01 23:20:49 +0900
14,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、ミルクカルシウム、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,子猫,チャオ Cozy Life クランキー　子ねこ用　まぐろ節味,jism:13744941,https://thumbnail.image.rakuten.co.jp/@0_mall/jism/cabinet/1906/4901133468063.jpg,855,5896,1345,2023-08-01 23:30:50 +0900
15,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、かつお節エキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、昆布エキスパウダー、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　本格鰹だし味,rcmdva:13500191,https://thumbnail.image.rakuten.co.jp/@0_mall/rcmdva/cabinet/lp20/lp-322520.jpg,998,6091,2833,2023-08-01 23:20:49 +0900
16,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、ほたてエキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　ほたて味,anshin-relief:10090960,https://thumbnail.image.rakuten.co.jp/@0_mall/anshin-relief/cabinet/pet23_2/4901133468049.jpg,998,6091,1738,2023-08-01 23:20:49 +0900
17,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュエキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、チキンエキスパウダー、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　チキン味,chanet:11076425,https://thumbnail.image.rakuten.co.jp/@0_mall/kurosu/cabinet/img004/33124267ku_00.jpg,196,9120,1019,2023-08-01 23:30:50 +0900
18,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュエキスパウダー、かつお節パウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　かつお節味,chanet:11083212,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/2865/286186-1.jpg,196,5564,1102,2023-08-01 23:20:49 +0900
19,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュエキスパウダー、まぐろ節パウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　まぐろ節味,petgo:10051211,https://thumbnail.image.rakuten.co.jp/@0_mall/kurosu/cabinet/img004/33124265ku_00.jpg,196,9120,1047,2023-08-01 23:20:49 +0900
20,いなば　金のだし　ドライ　かつおだし味,穀類（とうもろこし、小麦粉、コーングルテンミール、ふすま等）、肉類（チキンミール、ポークミール、チキンレバーパウダー等）、動物性油脂、豆類（脱脂大豆）、酵母エキス、セルロース、魚介類（かつおパウダー等）、野菜類（にんじんパウダー、かぼちゃパウダー、ほうれん草パウダー等）、ミネラル類（Na、Cl、Ca、P、K、Fe、Zn、Cu、Mn、Co、I）、ビタミン類（A、B1、B2、B6、B12、C、D3、E、K3、コリン、ナイアシン、パントテン酸、、葉酸、ビオチン）、アミノ酸類（メチオニン、タウリン）、緑茶エキス、酸化防止剤（ハーブ抽出物、ミックストコフェロール）,いなばペットフード,日本,ドライ,340,全年齢,いなば 金のだし ドライ　かつおだし味,chanet:10138890,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/771/76739-1.jpg,519,5661,611,2023-08-01 23:20:49 +0900
21,いなば　金のだし　ドライ　まぐろだし味,穀類（とうもろこし、小麦粉、コーングルテンミール、ふすま等）、肉類（チキンミール、ポークミール、チキンレバーパウダー等）、動物性油脂、豆類（脱脂大豆）、酵母エキス、セルロース、魚介類（まぐろパウダー等）、野菜類（にんじんパウダー、かぼちゃパウダー、ほうれん草パウダー等）、ミネラル類（Na、Cl、Ca、P、K、Fe、Zn、Cu、Mn、Co、I）、ビタミン類（A、B1、B2、B6、B12、C、D3、E、K3、コリン、ナイアシン、パントテン酸、葉酸、ビオチン）、アミノ酸類（メチオニン、タウリン）、緑茶エキス、酸化防止剤（ハーブ抽出物、ミックストコフェロール）,いなばペットフード,日本,ドライ,340,全年齢,いなば 金のだし ドライ　まぐろだし味,chanet:10138889,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/771/76738-1.jpg,519,6227,622,2023-08-01 23:20:49 +0900
22,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、キトサン、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、チキンエキスパウダー、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　BOX　まぐろ・チキンバラエティ,edenki:20200195,https://thumbnail.image.rakuten.co.jp/@0_mall/a-price/cabinet/pics/417/4901133501715.jpg,377,4471,624,2023-08-01 23:20:49 +0900
23,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー、かつお節パウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、キトサン、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　BOX　まぐろ節・かつお節バラエティ,fantasia-:10029547,https://thumbnail.image.rakuten.co.jp/@0_mall/fantasia-/cabinet/202305_31/4901133501708.jpg,377,4576,530,2023-08-01 23:20:49 +0900
24,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、キトサン、チキンエキスパウダー、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　BOX　チキンミックス味,ichinennet-plus:10458969,https://thumbnail.image.rakuten.co.jp/@0_mall/ichinennet-plus/cabinet/icn14/icn-rps-001434542.jpg,378,4576,530,2023-08-01 23:20:49 +0900
25,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュエキスパウダー、まぐろ節パウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、キトサン、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、ｐH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ Cozy Life クランキー　BOX　まぐろ節ミックス味,fantasia-:10029543,https://thumbnail.image.rakuten.co.jp/@0_mall/fantasia-/cabinet/202305_31/4901133501685.jpg,377,4576,490,2023-08-01 23:20:49 +0900
26,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、まぐろ節パウダー、フィッシュパウダー、かつお節パウダー、ほたてエキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B２、B６、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐＨ調整剤、緑茶抽出物（ガレート型カテキン含有）,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごいカテキン クランキー　まぐろ節 かつお節バラエティ,rakuten24:11098565,https://thumbnail.image.rakuten.co.jp/@0_mall/pets-kojima/cabinet/09/09460272.jpg,349,5253,471,2023-08-01 23:30:50 +0900
27,チャオ　すごいカテキン　クランキー　チキンバラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー、かつお節パウダー、ほたてエキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、チキンエキスパウダー、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B２、B６、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐＨ調整剤、緑茶抽出物（ガレート型カテキン含有）,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごいカテキン クランキー　チキンバラエティ,petking:10037645,https://thumbnail.image.rakuten.co.jp/@0_mall/petking/cabinet/65/4901133460265.jpg,298,3451,490,2023-08-01 23:20:49 +0900
28,チャオ　すごいカテキン　クランキー　かつお節バラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、かつお節パウダー、フィッシュパウダー、かつお節エキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、チキンエキスパウダー、昆布エキスパウダー、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B２、B６、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐＨ調整剤、緑茶抽出物（ガレート型カテキン含有）,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごいカテキン クランキー　かつお節バラエティ,rakuten24:11098565,https://thumbnail.image.rakuten.co.jp/@0_mall/scbmitsuokun1972/cabinet/pet/cat_food/4901133460258.jpg,298,5253,461,2023-08-01 23:20:49 +0900
29,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、まぐろ節パウダー、フィッシュパウダー、ほたてエキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、チキンエキスパウダー、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B２、B６、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐＨ調整剤、緑茶抽出物（ガレート型カテキン含有）,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごいカテキン クランキー　まぐろ節バラエティ,dotkae-ru02:10226664,https://thumbnail.image.rakuten.co.jp/@0_mall/pets-kojima/cabinet/09/09460241.jpg,298,4603,480,2023-08-01 23:20:49 +0900
30,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー、かつお節パウダー、ほたてエキスパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、殺菌乳酸菌、チキンエキスパウダー、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、pH調整剤,いなばペットフード,日本,ドライ,350,成猫,チャオ すごい乳酸菌 すごい乳酸菌クランキー　シーフードバラエティ,pets-kojima:10092640,https://thumbnail.image.rakuten.co.jp/@0_mall/pets-kojima/cabinet/07/07651731.jpg,176,8026,470,2023-08-01 23:20:49 +0900
